Common misconceptions,Description,Google hits,Sub Category,Category,fkey,Source Name,source
A Fatwa is an Islamic death sentence,Fatwā means 'non-binding legal opinion'.,"233,000",Religion,Culture,Culture to A Fatwa is an Islamic death sentence,BMJ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1124693/?tool=pmcentrez
A gene for...,"Genes code for proteins, so there are actually no genes ‘for’ specific characeristics, esp. not psychological ones. ","375,000,000",Science,Science,Science to A gene for...,Science and Education,http://link.springer.com/article/10.1007%2Fs11191-012-9510-4
"A Jihad is a ""holy war""","It actually translates as ""struggle"".","1,870,000",Religion,Culture,"Culture to A Jihad is a ""holy war""","War and Peace in the Law of Islam, by Majid Khadduri ",http://books.google.co.uk/books?id=UHWd6gLZsFIC&lpg=PP1&pg=PA74&redir_esc=y#v=onepage&q&f=false
Adding salt to water makes it boil more quickly,Adding a sprinkle of salt to fresh water makes only a negligible difference to boiling time,"11,300,000",Cooking,Food,Food to Adding salt to water makes it boil more quickly,Southwest Research Institute,http://www.swri.org/10light/water.htm
Alcohol keeps you warm,Alcohol dilates warm blood vessels near the skin creating the impression of warmth but it can actually drop core body temperature.,"18,100",Health,Medicine,Medicine to Alcohol keeps you warm,"Middlesboro Daily News, About.com","http://news.google.com/newspapers?id=kG5BAAAAIBAJ&sjid=QKkMAAAAIBAJ&pg=5953,3984482"
Alcohol kills brain cells,Only in heavy users and alcoholics who rely on alcohol to get most of their calories.,"393,000",Health,Medicine,Medicine to Alcohol kills brain cells,"Alcoholism: Clinical and Experimental Research, Alcohol & Alcoholism",http://onlinelibrary.wiley.com/doi/10.1111/j.1530-0277.1993.tb00720.x/abstract
"An ""Autism Epidemic""","There's only been an increase in diagnoses of autism, caused by heightened awareness of the ailment, not incidence.","1,130,000",Body,Medicine,"Medicine to An ""Autism Epidemic""",Psychological Medicine,http://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&Cmd=ShowDetailView&TermToSearch=25108395
Antioxidants are good for us,"Antioxidants don’t do anything for our health, might actually be harmful. Research shows they have no effect on free-radicals in the body, don’t prevent ageing.","30,700,000",Science,Science,Science to Antioxidants are good for us,Nature,http://www.nature.com/news/the-science-myths-that-will-not-die-1.19022#/b1
Apple Macs can't get viruses,Yes they can - just less frequently than Windows computers,,Computing,Technology,Technology to Apple Macs can't get viruses,"Switched, Betanews",http://www.switched.com/2009/09/01/apple-quietly-admits-macs-get-viruses/
Bananas grow on trees.,Nope. Bananas actually grow on massive herbs which resemble trees.,"55,600",Nature,Science,Science to Bananas grow on trees.,"Oxford Dictionaries, Morton, J. 1987. Banana. p. 29–46. In: Fruits of warm climates. Julia F. Morton, Miami, FL.
",http://oxforddictionaries.com/words/is-a-banana-a-fruit-or-a-herb
Bats are blind.,No. They can see AND use echolocation. Awesome!,"81,000",Nature,Science,Science to Bats are blind.,US Fish and Wildlife,http://web.archive.org/web/20080519095139/http://www.fws.gov/endangered/bats/miscon.htm
